Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
002594,BYD Company Limited,0.0217,108.37,+2.30,68,0,619252.0,6680761816.28,22.035,24.545,0.012199999999999999,4.789,105.66,106.07,109.49,105.66,108.36,108.37,1359,999,1.78%,0.00%,0.0361,1.62,0.1456,Passenger Cars,988030700119.05,377912396358.51,9117197565.0,3487241823.0,0.027000000000000003,0.0333,-0.015300000000000001,-0.1893,-0.1268,0.44520000000000004,0.1666,,,,,,,,1,3.8299999999999983,107.83999999999999,1,0,0,,25.348385706164677,Liquid,257078.50652741813,,,,,,,,,,,,,,0.02345714285714287
688256,Cambricon,0.0285,950.0,+26.30,63,0,11542302.0,11085893402.0,3064.516,Loss,0.0,66.119,950.28,923.7,987.99,925.46,950.0,950.53,13464,400,2.76%,-0.21%,0.0677,0.9,0.7263,Semiconductors,397432712800.00,397432712800.00,418350224.0,418350224.0,0.3429,0.3787,0.6323,0.4425,0.21739999999999998,3.0692000000000004,0.44380000000000003,,,,,,,-1,1,64.28999999999996,954.4833333333332,0,0,1,,24.888564327332308,Liquid,-2482711.6887893905,,,,,,,,,,,,,,0.030359793814432982
688775,Arashi Vision Inc.,0.2,269.3,+44.88,51,0,5572232.0,1447030696.0,109.072,108.544,0.0,21.153,250.18,224.42,269.3,250.18,269.3,0.0,902780,0,18.27%,0.00%,0.0852,1.16,1.0,Consumer Electronics,107989300000.00,8214072531.70,401000000.0,30501569.0,0.47200000000000003,0.6367,0.6585,4.6971,4.6971,4.6971,4.6971,,,,,,,,1,44.880000000000024,262.9266666666667,1,0,1,,,,5572232.0,,,,,,,,,,,,,,0.04610862068965515
600519,Kweichow Moutai,0.0045,1428.5,+6.42,41,1,47378.0,6773477871.0,19.953,20.810,0.0361,7.519,1426.99,1422.08,1436.64,1423.1,1428.5,1428.57,21,4,0.38%,-0.07%,0.0095,0.95,0.0108,Liquor,1794478557300.00,1794478557300.00,1256197800.0,1256197800.0,-0.011399999999999999,0.0067,-0.01,-0.0754,-0.0158,0.0556,-0.0454,,,,,,,0,0,14.560000000000173,1429.4133333333332,0,0,0,,26.316794637824565,Liquid,-9587.571639586307,,0.35,,,,0.35,Imminent,,,,,,,0.008271428571428572
600111,China Northern Rare Earth,0.1,42.9,+3.90,39,-1,2861184.0,11749317545.0,112.01,154.316,0.0008,6.819,39.7,39.0,42.9,38.55,42.9,0.0,128013,0,7.92%,0.00%,0.1115,1.33,1.0,Minor Metals,155086324621.80,155086324621.80,3615065842.0,3615065842.0,0.11,0.1818,0.22399999999999998,0.8511,0.8632,1.4819,1.025,,,,,,,,1,4.350000000000001,41.449999999999996,1,0,0,,,,2861184.0,,,,,,,,,,,,,,0.03564499999999999
300750,Contemporary Amperex Technology,0.0083,283.0,+2.33,28,1,285288.0,8056186541.66,22.107,25.426,0.0196,4.374,280.67,280.67,285.48,278.02,282.99,283.0,8,215,0.67%,-0.05%,0.026600000000000002,0.99,-0.0799,Batteries,1290284823673.00,1203351860062.00,4559310331.0,4252126714.0,0.07339999999999999,0.062,0.011899999999999999,0.06,0.0601,0.6727,0.0875,,,,,,,0,0,7.460000000000036,282.1666666666667,1,0,0,,26.34487019034649,Liquid,95605.89812332393,,,,,,,,,,,,,,0.01776428571428571
300059,East Money Information,0.0407,27.85,+1.09,25,2,16382484.0,45044000478.44,39.559,45.805,0.0022,5.143,26.98,26.76,28.97,26.25,27.84,27.85,12970,1247,12.25%,0.04%,0.1016,1.99,0.475,Securities,440142449248.75,372532350322.80,15804037675.0,13376386008.0,0.1702,0.19269999999999998,0.19269999999999998,0.34020000000000006,0.1575,1.6052000000000002,0.08109999999999999,,,,,,,,1,2.719999999999999,27.689999999999998,1,0,1,,26.14200275092044,Liquid,2891026.588235319,,,,,,,,,,,,,,0.011147619047619024
601088,China Shenhua Energy,0.0445,39.23,+1.67,23,0,1265353.0,5028382365.0,13.906,13.284,0.0576,2.007,41.32,37.56,41.32,39.01,39.23,39.24,1962,446,0.77%,0.00%,0.061500000000000006,4.52,0.0455,Coal Mining,779442037834.65,646943418974.65,19868519955.0,16491037955.0,0.0378,0.0387,0.0406,0.0724,0.07980000000000001,0.0111,-0.0483,,,,,,,,1,3.759999999999998,39.85333333333333,0,1,1,,24.348484009795268,Liquid,-1024333.3809523823,,,,,,,,,,,,,,-0.0017833333333333167
600150,China CSSC,0.0,38.5,0.00,22,-3,0.0,0.0,39.69,47.648,0.006500000000000001,3.381,0.0,38.5,0.0,0.0,0.0,0.0,0,0,0.00%,0.00%,0.0,0.0,0.0,Marine Equipment,172188507183.00,172188507183.00,4472428758.0,4472428758.0,0.09970000000000001,0.09939999999999999,0.134,0.2348,0.205,-0.0545,0.0781,,,,,,,,,38.5,12.833333333333334,1,0,,,,,,,,,,,,,,,,,,,0.06363333333333333
601138,Foxconn Industrial Internet,-0.0089,44.46,-0.40,21,1,2630780.0,11509162414.0,33.203,38.032,0.0144,5.821,44.8,44.86,45.25,41.66,44.45,44.46,220,97,1.33%,-0.07%,0.08,1.16,-0.9472,Consumer Electronics,882951927984.36,882894774432.06,19859467566.0,19858182061.0,0.2231,0.34850000000000003,0.6854,1.4496,0.9699,1.2695,1.1314,,,,,,,1,0,3.5900000000000034,43.79,1,0,1,,25.819758480717038,Liquid,1472943.676880225,,,,,,,,,,,,,,0.04610862068965515
