Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
688795,Moore Threads Technology,,,-,100,0,0.0,0.0,,-,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,0.00%,0.00%,0.0,0.0,0.0,Unclassified,0.00,0.00,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0,0,,,,,,,,,,,,,,,,,,,,
601138,Foxconn Industrial Internet,0.012,56.61,+0.67,45,0,2262144.0,12916587348.0,36.783,48.426,0.0113,6.959,56.36,55.94,58.34,56.16,56.61,56.62,3176,1156,1.14%,-0.02%,0.039,1.22,0.34049999999999997,Consumer Electronics,1124171783842.41,1124171783842.41,19858183781.0,19858183781.0,-0.1253,-0.1679,-0.2349,0.1794,2.0951,1.3363999999999998,1.7138,,,,,,,-1,1,2.4000000000000057,57.03666666666667,0,0,0,,25.89683638461721,Liquid,Flat,-1328231.3394495384,,,,,,,,,,,,,,0.023265909090909077
002594,BYD Company Limited,-0.0002,93.91,-0.02,32,0,277489.0,2620855758.23,22.327,21.270,0.0141,3.894,94.0,93.93,95.38,93.7,93.91,93.92,172,531,0.80%,-0.01%,0.0179,0.76,0.0043,Passenger Cars,856196023329.15,327486879597.93,9117197565.0,3487241823.0,-0.026699999999999998,-0.048600000000000004,-0.0946,-0.1586,-0.1912,-0.0311,0.0109,,,,,,,0,0,1.6799999999999926,94.33,0,0,0,,26.481372406648806,Liquid,Flat,-208116.75000000175,,0.7,,,,0.7,Imminent,,,,,,,0.009666666666666665
600519,Kweichow Moutai,-0.0051,1444.65,-7.35,31,0,28441.0,4119930011.0,20.095,20.980,0.035699999999999996,7.037,1458.0,1452.0,1458.0,1444.5,1444.65,1444.8,4,2,0.23%,0.00%,0.009300000000000001,0.91,0.8459,Liquor,1809092166099.75,1809092166099.75,1252270215.0,1252270215.0,-0.0212,-0.0098,-0.0002,-0.030699999999999998,-0.0333,-0.051,-0.0346,,,,,,,0,1,13.5,1449.05,0,0,0,,25.50913033682098,Liquid,Flat,-27808.977777777396,,,,,,,,,,,,,,0.00402
688256,Cambricon,-0.0016,1260.0,-1.98,26,0,5877103.0,7414400485.0,283.082,Loss,0.0,46.972,1268.0,1261.98,1285.35,1244.0,1259.99,1260.0,500,2552,1.41%,-0.00%,0.032799999999999996,1.08,-0.1417,Semiconductors,531323314200.00,527121282240.00,421685170.0,418350224.0,-0.050300000000000004,-0.0526,-0.1478,-0.0902,1.0873,1.6865999999999999,0.9148999999999999,,,,,,,,0,41.34999999999991,1263.1166666666666,0,0,0,,27.644906461313326,Liquid,Flat,-1328921.7182587564,,,,,,,,,,,,,,0.01990506329113923
001233,Haian Rubber Group,0.74,83.52,+35.52,22,4,266664.0,2312605029.06,24.286,22.875,0.0,3.142,87.06,48.0,100.0,73.88,83.52,83.53,988,696,75.36%,-0.01%,0.5442,0.0,0.19699999999999998,Unclassified,15532492855.68,2955432038.40,185973334.0,35385920.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,,,,,,,,1,52.0,85.8,0,0,0,,22.78076169740244,Norm,Spike,-69830.84839203677,,,,,,,,,,,,,,
300308,Zhongji Innolight,0.05,479.66,+22.86,19,1,439365.0,21131904345.49,62.325,103.064,0.0019,20.542,477.01,456.8,494.8,470.01,479.66,479.67,53,2,3.97%,-0.03%,0.054299999999999994,1.21,0.7742,Telecommunication Equipment,532959020086.44,530264361196.12,1111118334.0,1105500482.0,0.0143,0.0248,-0.065,0.5008,4.177099999999999,2.2429,2.9120999999999997,,,,,,,-1,1,38.0,481.49,0,0,1,,26.631460644626323,Liquid,Up,-97301.88987494865,,,,,,,,,,,,,,0.052944186046511625
300999,Yihai Kerry Arawana Holdings,-0.0046,29.99,-0.14,15,3,150325.0,451609729.58,42.539,65.054,0.0037,1.69,29.94,30.13,30.26,29.75,29.98,29.99,288,206,2.77%,-0.23%,0.0169,1.04,0.4042,Processing of Agricultural Products,162593530164.64,16273986439.03,5421591536.0,542647097.0,-0.0837,-0.1085,-0.031,-0.09910000000000001,-0.0106,-0.1499,-0.07719999999999999,,,,,,,0,1,0.5100000000000016,30.0,0,0,0,,23.11922930428785,Liquid,Flat,-8842.647058824885,0.6,,,,,0.6,Recursor,,,,,,,-0.0005444444444444558
300750,Contemporary Amperex Technology,0.0049,372.36,+1.81,15,-2,206332.0,7733117131.64,26.644,33.485,0.0149,5.406,375.0,370.55,379.66,370.59,372.36,372.37,87,5,0.49%,-0.04%,0.0245,0.66,0.48729999999999996,Batteries,1699292463046.80,1584893641115.16,4563574130.0,4256347731.0,-0.032799999999999996,-0.034300000000000004,-0.0365,0.2828,0.4954,0.3882,0.4364,,,,,,,0,1,9.110000000000014,374.2033333333334,0,0,0,,26.65884044112681,Liquid,Flat,-125801.09812568776,0.6,,,,,0.6,Recursor,,,,,,,0.027399999999999983
300058,BlueFocus Intelligent Communications Group,0.0139999999999999,10.9,+0.15,14,-1,13557046.0,15037837673.0,,Loss,0.0,4.932,10.82,10.75,11.44,10.69,10.9,10.91,17181,12191,38.96%,-0.09%,0.0698,1.41,0.0888,Advertising & Marketing,39133411374.30,37932324362.20,3590221227.0,3480029758.0,0.1249,0.39390000000000003,0.7273999999999999,0.4533,0.8408,0.6533,0.6444,,,,,,,-1,1,0.75,11.01,0,0,1,,25.247114488121532,Liquid,Flat,-5965100.2399999695,,,,,,,,,,,,,,0.013154999999999995
