Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
600519,Kweichow Moutai,0.034,1525.0,+50.08,83,1,109123.0,16444345980.0,21.212,22.147,0.0339,8.41,1485.0,1474.92,1533.27,1474.0,1524.94,1525.0,1,57,0.87%,0.05%,0.04019999999999999,1.03,-0.7892,Liquor,1909712077875.00,1909712077875.00,1252270215.0,1252270215.0,0.1521,0.12869999999999998,0.07139999999999999,0.0602,0.0916,0.096,0.1073,,,,,,,,0,59.26999999999998,1510.756666666667,1,0,0,,26.306238861528666,Liquid,Up,78670.92610089427,,,,,0.9,0.9,Momentum,,,,,,,0.021857142857142846
688256,Cambricon,-0.0532,1068.0,-60.00,82,-1,11735129.0,12657885600.0,239.946,Loss,0.0,39.815,1100.0,1128.0,1108.6,1063.97,1067.6,1068.0,200,6094,2.81%,0.19%,0.039599999999999996,1.18,0.098,Semiconductors,450359761560.00,446798039232.00,421685170.0,418350224.0,-0.1674,-0.2112,-0.2343,-0.2325,0.5416,0.7198,-0.2121,,,,,,,,1,64.02999999999997,1080.1899999999998,0,0,0,,24.90522875559175,Liquid,Bear,-9615811.506385848,,,,,,,,,,,,,,-0.023152542372881346
601212,Baiyin Nonferrous Group,0.0262,11.36,+0.29,67,0,6519729.0,7089830992.0,473.333,1032.727,0.0004,5.451,10.3,11.07,12.0,10.3,11.35,11.36,2417,8064,8.81%,-0.18%,0.1536,2.77,-0.5708,Industrial Metals,84118238444.96,84118238444.96,7404774511.0,7404774511.0,-0.17739999999999997,0.3256,0.8996999999999999,1.1515,2.391,3.1219,0.9419,,,,,,,,0,1.6999999999999993,11.219999999999999,1,1,1,,24.338017249623533,Liquid,Up,1610756.5764705818,,,,1.6,,1.6,Gap_Fill,,,,,,,0.004062162162162162
002594,BYD Company Limited,0.0203,89.14,+1.77,65,1,376505.0,3322530225.39,21.193,20.190,0.0149,3.696,86.99,87.37,89.33,86.45,89.14,89.15,1306,70,1.08%,-0.03%,0.033,0.77,-0.2643,Passenger Cars,812706990944.10,310852736102.22,9117197565.0,3487241823.0,-0.045,-0.0527,-0.0867,-0.10310000000000001,-0.1423,-0.0209,-0.08779999999999999,,,,,,,,0,2.8799999999999955,88.30666666666667,1,0,0,,24.68639958000611,Liquid,Up,326827.25694444496,,,,,,,,,,,,,,0.01966666666666665
601899,Zijin Mining Group,0.009,39.16,+0.35,58,-1,3267366.0,12844681833.0,22.86,32.497,0.0128,6.204,39.5,38.81,39.99,38.68,39.16,39.17,1581,2065,1.59%,0.03%,0.0338,0.5,-0.1363,Industrial Metals,1041253949762.40,806730975362.40,26589733140.0,20600893140.0,-0.0742,0.027000000000000003,0.0664,0.298,0.9272,1.5462,0.1361,,,,,,,,0,1.3100000000000023,39.276666666666664,0,0,0,,25.855164983757074,Liquid,Flat,-872960.3816794091,,,,,,,,,,,,,,0.004062162162162162
000547,"Addsino Co.,Ltd.",0.0037,32.5,+0.12,46,0,4956775.0,16639138132.13,,Loss,0.0,11.05,33.47,32.38,34.64,32.46,32.5,32.51,867,82,31.19%,-0.46%,0.0673,1.66,0.5423,Military Electronics,51950218742.50,51646434515.00,1598468269.0,1589121062.0,0.2227,0.25579999999999997,-0.1144,2.8101,2.7879,3.822,-0.0154,,,,,,,,1,2.259999999999998,33.199999999999996,0,0,1,,26.385240613576144,Liquid,Flat,-4774875.000000004,,,,,,,,,,,,,,-0.0014052631578947373
688223,Jinko Solar,0.2,8.4,+1.40,36,17,543745576.0,4138046830.0,,840.000,0.0,3.075,6.98,7.0,8.4,6.96,8.4,0.0,26825406,0,5.44%,0.00%,0.2057,2.06,1.0,Photovoltaic Equipment,84043713675.60,84043713675.60,10005204009.0,10005204009.0,0.2651,0.5162,0.3839,0.327,0.5819,0.36590000000000006,0.4894,,,,,,,,1,1.4400000000000004,7.919999999999999,1,1,0,,,,Spike,543745576.0,,,,,,,,,,,,,,0.06025581395348836
688008,Montage Technology,-0.0611,170.9,-11.13,34,2,56740417.0,9577099946.0,94.839,138.830,0.0034999999999999996,15.939,175.6,182.03,175.69,164.11,170.89,170.9,12892,10578,4.95%,-0.01%,0.0636,0.79,-0.34869999999999995,Semiconductors,195924292438.90,195924292438.90,1146426521.0,1146426521.0,-0.013600000000000001,0.068,0.2594,0.3372,0.8747,1.4585,0.4508,,,,,,,,0,17.919999999999987,170.23333333333335,1,0,1,,25.408832493956773,Liquid,Bear,9799726.597582052,,,,,,,,,,,,,,-0.023152542372881346
601138,Foxconn Industrial Internet,-0.042,53.41,-2.34,33,2,1890656.0,10116227141.0,34.704,45.688,0.0182,6.843,54.69,55.75,54.78,52.6,53.41,53.42,722,628,0.95%,-0.04%,0.0391,0.95,0.306,Consumer Electronics,1060626236663.21,1060626236663.21,19858195781.0,19858195781.0,-0.12,-0.1324,-0.14980000000000002,-0.2495,0.473,1.4243999999999999,-0.1346,,,,,,,,1,3.1499999999999986,53.596666666666664,0,0,0,,25.114688736386743,Liquid,Down,-485673.1009174394,,,,,,,,,,,,,,-0.012221739130434773
002131,"Leo Group Co.,Ltd.",-0.0904,9.26,-0.92,33,-2,13710039.0,13079196926.48,128.611,Loss,0.0038,4.748,10.08,10.18,10.3,9.16,9.26,9.27,93790,27563,23.44%,0.00%,0.11199999999999999,1.05,0.3973,General Equipment,62706670789.78,54168442776.92,6771778703.0,5849723842.0,0.0559,-0.010700000000000001,0.6418,0.7356,1.3834,1.4584000000000001,0.6418,,,,,,,,1,1.1400000000000006,9.573333333333332,0,0,0,,24.243733094869363,Liquid,Plunge,-11304769.00000001,,,,,0.8,0.8,Momentum,,,,,,,0.00837575757575757
