Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
09988,BABA-W,0.0335,141.9,+4.600,87,0,181120225.0,25571992786.0,16.641,19.290,0.0138,2.434,138.6,137.3,142.8,138.0,141.8,141.9,555600,651800,0.95%,-0.14%,0.035,1.3,-0.1917,online retailer,2706406407579.60,2706406407579.60,19072631484.0,19072631484.0,0.0535,0.1698,0.217,0.2569,0.0625,0.8298000000000001,0.7639,,,,,,,,0,5.5,140.9,1,0,0,,25.44211808289221,Liquid,113200140.62499973,,,,,,,,,,,1.1206,1.1206,Strong_Base,0.002728571428571422
03690,MEITUAN-W,-0.023,99.65,-2.350,84,2,148686738.0,14766702150.0,18.819,15.749,0.0,3.012,102.0,102.0,102.0,97.1,99.6,99.65,9600,171500,2.43%,0.20%,0.048,1.86,-0.7302,online retailer,608970498166.50,608970498166.50,6111093810.0,6111093810.0,-0.0143,-0.1696,-0.1654,-0.2821,-0.43090000000000006,-0.1432,-0.3431,,,,,,,,0,4.900000000000006,99.58333333333333,1,0,0,,25.27538867374449,Liquid,6068846.448980102,,,,,,,,,,,,,,0.002728571428571422
09992,POP MART,0.0021,288.2,+0.600,55,-1,10317851.0,2966522477.0,52.068,114.683,0.0031,24.883,287.8,287.6,292.2,283.8,288.2,288.4,1400,22600,0.77%,-0.28%,0.0292,0.72,-0.3436,Toys & Leisure,387036215830.00,387036215830.00,1342943150.0,1342943150.0,-0.0673,-0.1407,0.08349999999999999,0.048,1.2099,5.2636,2.2469,,,,,,,0,0,8.399999999999977,288.06666666666666,1,0,0,,24.78379689871191,Liquid,491326.2380952115,,0.7,,,,0.7,Imminent,,,,,,,0.019525
01810,XIAOMI-W,0.0265,56.2,+1.450,48,1,173784267.0,9647368265.0,35.841,57.230,0.0,5.283,54.4,54.75,56.2,53.8,56.15,56.2,157000,155200,0.67%,0.27%,0.0438,1.22,-0.377,Unclassified,1462655790862.40,1462655790862.40,26025903752.0,26025903752.0,0.0063,0.050499999999999996,0.087,0.0379,0.0072,1.9486,0.629,,,,,,,,0,2.4000000000000057,55.4,1,0,0,,24.596213591507368,Liquid,173784267.0,,,,,,,,,,,,,,
00981,SMIC,0.0017,58.25,+0.100,33,1,120101934.0,7076891614.0,102.733,121.607,0.0,2.814,58.0,58.15,60.65,56.0,58.2,58.25,280500,115000,2.00%,0.17%,0.08,0.84,0.2021,Semiconductors,465257274288.00,349435355023.75,7987249344.0,5998890215.0,-0.0404,0.0365,0.1388,0.4526,0.17559999999999998,2.5518,0.8318000000000001,,,,,,,,1,4.649999999999999,58.300000000000004,0,0,1,,25.53018778783285,Liquid,-3874255.9354838356,,,,,,,,,,,,,,-0.00869000000000001
01211,BYD COMPANY,0.0028,105.9,+0.300,29,1,29693000.0,3147263909.0,20.895,22.210,0.013600000000000001,4.183,105.7,105.6,107.2,105.1,105.8,105.9,291000,100500,0.81%,-0.09%,0.0199,0.54,0.1007,Automobiles,965511222133.50,390072060000.00,9117197565.0,3683400000.0,-0.044199999999999996,-0.09949999999999999,-0.048499999999999995,-0.1841,-0.16670000000000001,0.37729999999999997,0.2114,,,,,,,0,1,2.1000000000000085,106.06666666666668,0,0,0,,24.566894654256238,Liquid,-7069761.904761675,0.6,,,,,0.6,Recursor,,,,,,,0.007926666666666667
09888,BIDU-SW,-0.0009,106.1,-0.100,28,-4,17755071.0,1884183393.0,9.549,11.373,0.0,0.967,106.1,106.2,108.0,104.9,106.1,106.2,177400,379050,0.65%,0.00%,0.0292,0.66,0.0078000000000000005,Interactive media and services,291792736524.80,291792736524.80,2750167168.0,2750167168.0,0.1602,0.1875,0.2534,0.24239999999999998,0.15259999999999999,0.29469999999999996,0.28300000000000003,,,,,,,0,0,3.0999999999999943,106.33333333333333,0,0,0,,24.60208624394226,Liquid,-4009209.580645266,,0.7,,,,0.7,Imminent,,,,,,,-0.002175000000000001
00700,TENCENT,0.0154,627.0,+9.500,28,0,19871460.0,12402857764.0,25.216,27.443,0.0072,4.705,620.0,617.5,628.0,617.5,626.5,627.0,700,219400,0.22%,0.08%,0.017,1.11,-0.6748000000000001,Digital Solution Service,5751422633220.00,5751422633220.00,9172922860.0,9172922860.0,0.0441,0.0287,0.1206,0.2306,0.20579999999999998,0.6796,0.52,,,,,,,0,0,10.5,624.1666666666666,1,0,0,,25.09790795411333,Liquid,16086420.0,,0.7,,,,0.7,Imminent,,,,,,,-0.016040624999999996
02007,COUNTRY GARDEN,0.2744999999999999,0.65,+0.140,24,2,2133010689.0,1333035371.0,,Loss,0.0,,0.52,0.51,0.68,0.51,0.64,0.65,15257000,25145000,7.62%,1.56%,0.3333,8.34,-0.3892,Real Estate Developers,18192530164.90,18192530164.90,27988507946.0,27988507946.0,0.4607,0.4286,0.413,0.6667000000000001,0.1818,-0.1333,0.34020000000000006,,,,,,,,0,0.17000000000000004,0.6133333333333333,1,1,0,,20.61730546083268,Liquid,1380183386.9999995,,,,,0.9,0.9,Momentum,,,,,,,0.03300428571428571
09618,JD-SW,0.0332,127.5,+4.100,23,0,20087889.0,2552496983.0,8.531,8.096,0.031200000000000002,1.451,126.8,123.4,127.9,126.0,127.4,127.5,411650,158900,0.71%,0.08%,0.0154,1.48,0.0538,online retailer,361590000000.00,361590000000.00,2836000000.0,2836000000.0,0.0661,0.024900000000000002,0.0391,-0.026000000000000002,-0.2278,0.2597,-0.0349,,,,,,,0,1,4.5,127.13333333333333,1,0,0,,23.397631205840693,Liquid,11629830.473684115,0.7,,,,0.9,0.9,Momentum,,,,,,,0.002728571428571422
09660,HORIZONROBOT-W,-0.0248,10.24,-0.260,14,-2,224611797.0,2317266179.0,58.514,55.956,0.0,11.352,10.51,10.5,10.62,10.14,10.2,10.24,9000,104400,1.62%,0.49%,0.045700000000000005,0.47,-0.4171,Digital Solution Service,142144447303.68,142144447303.68,13881293682.0,13881293682.0,0.0711,0.2995,0.4105,0.4905,0.4144,1.5663999999999998,1.8444,,,,,,,,0,0.47999999999999865,10.333333333333334,0,0,0,,22.742707977646713,Liquid,-131023548.25000006,,,,,,,,,,,,,,-0.016040624999999996
01024,KUAISHOU-W,0.043,72.95,+3.010,11,2,43155014.0,3134493587.0,17.805,19.027,0.0063,4.064,70.5,69.94,73.5,70.15,72.9,72.95,115100,247900,1.00%,0.14%,0.0479,0.86,-0.0588,Interactive media and services,315097321410.55,315097321410.55,4319360129.0,4319360129.0,0.0233,-0.0724,0.0254,0.22519999999999998,0.1572,0.8686,0.7841,,,,,,,,0,3.5600000000000023,72.2,1,0,0,,23.522251427628298,Liquid,28984710.895522438,,,,,,,,,,,,,,-0.002175000000000001
03750,CATL,0.0014,431.0,+0.600,10,4,1373205.0,592139786.0,30.066,34.975,0.0026,6.076,433.2,430.4,436.6,428.0,430.8,431.0,500,4800,0.88%,0.00%,0.02,0.59,-0.0558,Energy Storage Systems,1965256835840.00,67199494300.00,4559760640.0,155915300.0,0.0321,0.039599999999999996,0.0366,0.40259999999999996,0.6456999999999999,0.6456999999999999,0.6456999999999999,,,,,,,0,0,8.600000000000023,431.8666666666666,0,0,0,,23.733815196041295,Liquid,-415155.00000000256,,0.7,,,,0.7,Imminent,,,,,,,-0.021354545454545473
09880,UBTECH ROBOTICS,-0.0073,109.0,-0.800,10,-2,11545814.0,1259090445.0,,Loss,0.0,18.689,110.1,109.8,111.6,107.6,108.9,109.0,450,80950,2.88%,0.00%,0.0364,0.47,-0.008100000000000001,Digital Solution Service,51440737657.00,43738146164.00,471933373.0,401267396.0,0.0332,0.1522,0.1739,0.3789,0.10830000000000001,0.2464,0.9836,,,,,,,,0,4.0,109.39999999999999,0,0,0,,23.374654089207365,Liquid,-3463744.199999967,,,,,,,,,,,,,,-0.016040624999999996
00241,ALI HEALTH,0.1002,7.14,+0.650,10,20,324289412.0,2251375203.0,74.375,74.375,0.0,6.514,6.51,6.49,7.18,6.49,7.13,7.14,100000,566000,2.01%,0.42%,0.1063,1.26,-0.4677,Pharmaceutical Distribution,115125030596.10,115125030596.10,16123953865.0,16123953865.0,0.1686,0.2548,0.4542,0.49689999999999995,0.3446,1.4122,1.1506,,,,,,,,0,0.6899999999999995,6.9366666666666665,1,0,0,,22.557316626792872,Liquid,286690639.5942028,,,,,,,,,,,,,,0.01475
09868,XPENG-W,0.0195,80.85,+1.550,9,0,18197417.0,1468782241.0,,Loss,0.0,4.633,80.3,79.3,81.7,79.6,80.8,80.85,4700,23500,0.96%,-0.06%,0.0265,0.91,-0.5547,Automobiles,154139082878.55,154139082878.55,1906482163.0,1906482163.0,0.0012,-0.1413,-0.013999999999999999,0.0955,-0.1376,1.5585,0.7331,,,,,,,0,0,2.4000000000000057,80.71666666666667,1,0,0,,23.251297671281815,Liquid,3466174.6666665785,,0.7,,,,0.7,Imminent,,,,,,,0.007926666666666667
02269,WUXI BIO,-0.0339,37.66,-1.320,9,-2,52001398.0,1983986347.0,33.445,42.457,0.0,3.122,39.1,38.98,39.38,37.42,37.64,37.66,147000,14500,1.27%,0.11%,0.050300000000000004,0.79,-0.0392,Biotechnology,153914678450.96,153914678450.96,4086953756.0,4086953756.0,0.0537,0.1545,0.27399999999999997,0.4211,0.4158,2.4614,1.1445999999999998,,,,,,,,0,1.9600000000000009,38.153333333333336,0,0,1,,23.339964881042345,Liquid,-39266361.755102314,,,,,,,,,,,,,,-0.0007298507462686547
06181,LAOPU GOLD,0.0434,817.0,+34.000,8,6,3039032.0,2490794357.0,40.805,88.688,0.0084,16.793,785.0,783.0,850.0,784.0,816.0,817.0,100,2700,2.18%,0.31%,0.0843,1.97,-0.2145,Jewelry & Watches,141076863900.00,113950061920.00,172676700.0,139473760.0,0.09519999999999999,0.0922,0.0821,-0.135,0.1821,8.729700000000001,2.4867,,,,,,,,0,67.0,817.0,0,0,1,,23.066648750045456,Liquid,0.0,,,,,0.8,0.8,Momentum,,,,,,,0.0303333333333333
