Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
01810,XIAOMI-W,0.0146,42.98,+0.620,96,0,152392565.0,6537186965.0,27.463,43.857,0.0,4.047,42.64,42.36,43.42,42.36,42.96,42.98,178000,18400,0.59%,0.23%,0.025,1.05,0.1888,Consumer Telecommunication Equipment,1120461212198.44,1120461212198.44,26069362778.0,26069362778.0,-0.0101,-0.0616,-0.1243,-0.19210000000000002,-0.2107,0.5241,0.2458,,,,,,,0,1,1.0600000000000023,42.919999999999995,1,0,0,,24.79738035108928,Liquid,Flat,25877982.73584794,0.6,,,,,0.6,Recursor,,,,,,,0.005133333333333317
09988,BABA-W,-0.0184,160.4,-3.000,83,0,73054852.0,11669987979.0,18.826,21.823,0.012199999999999999,2.754,161.5,163.4,162.4,158.6,160.3,160.4,3100,235000,0.38%,0.19%,0.0233,0.93,-0.4799,Online Retailers,3061817427250.80,3061817427250.80,19088637327.0,19088637327.0,0.0088,-0.076,-0.013500000000000002,0.3169,0.324,0.6631,0.9937999999999999,,,,,,,0,0,4.800000000000011,160.46666666666667,0,0,0,,25.075205137207565,Liquid,Flat,-3844992.210526086,,0.7,,,,0.7,Imminent,,,,,,,-0.02234166666666666
09868,XPENG-W,0.1793,108.5,+16.500,75,1,85840900.0,9020588787.0,,Loss,0.0,6.227,100.8,92.0,109.0,99.7,108.5,108.6,60400,36600,4.50%,0.09%,0.1011,2.94,-0.0958,Automobiles,207152655552.50,207152655552.50,1909241065.0,1909241065.0,0.2205,0.281,0.2894,0.3973,0.39909999999999995,1.1831,1.3258,,,,,,,,0,17.0,105.73333333333333,1,1,1,,23.692203392320227,Liquid,Spike,76610695.69892474,,,,,,,,,,,,,,0.0056411764705882285
09992,POP MART,0.0081,223.2,+1.800,48,-1,11144124.0,2476230655.0,40.325,88.818,0.004,19.271,221.4,221.4,226.0,218.6,223.0,223.2,1200,22800,0.83%,0.00%,0.0334,0.57,-0.24960000000000002,Toys & Leisure,299744911080.00,299744911080.00,1342943150.0,1342943150.0,0.026699999999999998,-0.0437,-0.1448,-0.18059999999999998,0.037599999999999995,2.204,1.5146000000000002,,,,,,,,0,7.400000000000006,222.6,1,0,0,,23.92476217028566,Liquid,Flat,2710732.8648648374,,,,,,,,,,,,,,-0.006636363636363627
00700,TENCENT,0.0008,650.0,+0.500,43,1,13087772.0,8483781693.0,26.06,28.363,0.006999999999999999,4.863,662.0,649.5,662.0,641.0,649.5,650.0,4000,91500,0.14%,0.00%,0.0323,0.95,-0.3251,Digital Solution Services,5944100526650.00,5944100526650.00,9144770041.0,9144770041.0,0.0334,-0.0091,0.0172,0.1017,0.2488,0.5356000000000001,0.5758,,,,,,,,0,21.0,651.0,0,0,0,,26.084397271352955,Liquid,Flat,-1869681.714285714,,,,,,,,,,,,,,0.0010162162162162135
01211,BYD COMPANY,-0.0049,101.3,-0.500,41,-1,14575190.0,1481268089.0,21.988,21.245,0.0143,3.835,102.9,101.8,103.3,100.6,101.2,101.3,24000,96800,0.40%,0.00%,0.0265,0.46,-0.1266,Automobiles,923572113334.50,373128420000.00,9117197565.0,3683400000.0,0.0433,-0.0416,-0.047,-0.10980000000000001,-0.3368,0.0484,0.1588,,,,,,,0,0,2.700000000000003,101.73333333333333,0,0,0,,23.655225620005883,Liquid,Flat,-7017684.074074051,,0.7,,,,0.7,Imminent,,,,,,,0.0056411764705882285
03690,MEITUAN-W,-0.0126,102.0,-1.300,38,0,41269159.0,4197723581.0,19.263,16.121,0.0,3.083,103.3,103.3,104.4,100.6,101.9,102.0,7500,145400,0.68%,0.10%,0.0368,1.09,-0.3564,Online Retailers,623375050710.00,623375050710.00,6111520105.0,6111520105.0,0.021,0.0,0.022000000000000002,-0.1801,-0.2571,-0.47369999999999995,-0.3276,,,,,,,,0,3.8000000000000114,102.33333333333333,0,0,0,,24.15435882723899,Liquid,Flat,-10860304.999999966,,,,,,,,,,,,,,-0.02234166666666666
00981,SMIC,-0.0274,72.65,-2.050,36,1,70851474.0,5177861386.0,128.356,151.987,0.0,3.516,75.45,74.7,75.6,71.55,72.6,72.65,24500,6000,1.18%,0.28%,0.0542,0.88,-0.34509999999999996,Semiconductors,581206751800.40,435938532615.55,8000092936.0,6000530387.0,0.0111,-0.1226,-0.09359999999999999,0.3971,0.7034,1.6418000000000001,1.2846000000000002,,,,,,,,0,4.049999999999997,73.26666666666667,0,0,1,,24.151834197061348,Liquid,Down,-32364253.555555232,,,,,,,,,,,,,,-0.004027272727272746
09618,JD-SW,-0.0112,123.1,-1.400,31,-1,10012848.0,1223081015.0,8.236,7.816,0.032400000000000005,1.401,122.1,124.5,123.2,121.3,123.0,123.1,40350,6200,0.35%,0.16%,0.015300000000000001,1.07,0.1942,Online Retailers,349111600000.00,349111600000.00,2836000000.0,2836000000.0,-0.0024,-0.066,-0.030699999999999998,-0.016,-0.0848,-0.2043,-0.0682,,,,,,,0,1,3.200000000000003,122.53333333333335,1,0,0,,23.213856877164357,Liquid,Flat,8958863.999999912,0.6,,,,,0.6,Recursor,,,,,,,-0.02234166666666666
09888,BIDU-SW,0.0231,128.7,+2.900,25,1,14008741.0,1814315381.0,11.584,13.795,0.0,1.173,130.4,125.8,132.0,127.9,128.7,128.8,2800,69000,0.51%,0.31%,0.0326,0.99,-0.0407,Interactive media and services,353946514521.60,353946514521.60,2750167168.0,2750167168.0,0.0558,0.0288,0.0446,0.4633,0.49479999999999996,0.4252,0.5562,,,,,,,,0,6.200000000000003,129.53333333333333,0,0,0,,23.264286754816062,Liquid,Up,-8541915.243902547,,,,,,,,,,,,,,0.000683333333333333
