Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
1155,MAYBANK,0.0031,9.73,+0.030,100,0,14117500.0,136943488.0,11.528,11.638,0.06269999999999999,1.271,9.7,9.7,9.73,9.67,9.7,9.74,16000,4100,0.12%,0.00%,0.0062,1.67,0.4307,Financial Services,117549136013.89,114328294697.75,12081103393.0,11750081675.0,-0.0070999999999999995,-0.0060999999999999995,0.0031,-0.0092,-0.0046,0.020499999999999997,-0.020099999999999996,,,,,,,0,1,0.0600000000000005,9.709999999999999,1,0,0,,21.167444993103175,Liquid,14117500.0,,,,,,,,0.7808,0.7808,Buildup,,,,0.01178684210526315
6742,YTLPOWR,0.0237999999999999,4.3,+0.100,66,0,19768500.0,84804895.0,12.797,10.386,0.0163,1.787,4.2,4.2,4.35,4.2,4.25,4.3,26900,5000,0.74%,0.00%,0.035699999999999996,1.05,-0.9331,Utilities,36402032661.30,11546817059.90,8465588991.0,2685306293.0,0.048799999999999996,0.16219999999999998,0.1912,0.4493,0.0352,-0.1724,-0.0163,,,,,,,,0,0.14999999999999947,4.283333333333334,1,0,0,,19.409510057657094,Liquid,6589500.0,,,,,,,,,,,,,,0.004192307692307684
1023,CIMB,0.0197999999999999,6.7,+0.130,48,0,16020800.0,106386955.0,9.279,9.305,0.059699999999999996,1.044,6.58,6.57,6.7,6.58,6.65,6.7,20000,28700,0.20%,0.00%,0.0183,1.16,-0.17489999999999997,Financial Services,72046126989.40,53401055848.10,10753153282.0,7970306843.0,-0.013300000000000001,-0.0103,-0.028999999999999998,0.0075,-0.15039999999999998,0.0178,-0.1597,,,,,,,0,0,0.1299999999999999,6.66,1,0,0,,19.881250415663622,Liquid,16020800.0,,,,,,,,,,,,,,0.01178684210526315
4677,YTL,0.0,2.49,0.000,45,0,20433200.0,51020464.0,14.91,13.036,0.0181,1.705,2.48,2.49,2.54,2.47,2.48,2.49,100000,100000,0.54%,0.00%,0.0281,0.84,-0.6043999999999999,Utilities,28229154641.04,9379572623.64,11337009896.0,3766896636.0,0.0,0.1636,0.1422,0.4229,0.012199999999999999,-0.3318,-0.0674,,,,,,,0,0,0.06999999999999984,2.5,0,0,0,,inf,Liquid,-8757085.714285677,,0.35,,,,0.35,Imminent,,,,,,,0.004192307692307684
5398,GAMUDA,0.0262,5.1,+0.130,45,4,27278800.0,137426609.0,31.481,31.481,0.0196,2.46,4.99,4.97,5.1,4.98,5.04,5.1,105000,68200,0.52%,0.00%,0.0241,0.89,0.0197,Construction,29434111399.20,26750486309.40,5771394392.0,5245193394.0,0.011899999999999999,0.0874,0.07139999999999999,0.3528,0.0336,0.434,0.08810000000000001,,,,,,,0,0,0.1299999999999999,5.06,1,0,0,,19.782833983321577,Liquid,27278800.0,,,,,,,,,,,0.9508,0.9508,Strong_Base,0.005333846153846154
4197,SIME,-0.006,1.67,-0.010,37,1,9871700.0,16533626.0,8.226,3.443,0.07780000000000001,0.577,1.68,1.68,1.69,1.66,1.66,1.67,586400,285000,0.26%,0.00%,0.0179,0.94,0.6049,Consumer Products & Services,11382047953.59,6281578522.55,6815597577.0,3761424265.0,-0.04019999999999999,-0.023399999999999997,-0.067,-0.1932,-0.2401,-0.3175,-0.2788,,,,,,,0,1,0.030000000000000027,1.6733333333333331,0,0,0,,18.882153588596513,Liquid,-3290566.6666666665,,0.55,,,,0.55,Imminent,,,,,,,0.00040846560846560977
0270,NATGATE,0.0,1.62,0.000,34,1,24460100.0,39500039.0,18.409,21.891,0.0062,3.793,1.64,1.62,1.65,1.59,1.61,1.62,49000,74500,2.47%,0.00%,0.037000000000000005,0.56,0.24710000000000001,Industrial Products & Services,3688220806.20,1601377954.20,2276679510.0,988504910.0,-0.028399999999999998,0.0015,0.0401,0.3191,-0.3749,-0.1822,-0.3527,,,,,,,,1,0.05999999999999983,1.62,0,0,0,,inf,Liquid,9.052055401544623e-08,,,,,,,,,,,,,,0.005233734939759035
5337,ECOSHOP,0.0,1.27,0.000,34,5,48813900.0,62619501.0,36.285,40.967,0.0,8.141,1.28,1.27,1.31,1.26,1.27,1.28,1560200,1317400,4.26%,0.00%,0.0394,5.76,0.3146,Consumer Products & Services,7298690000.00,1456377159.63,5747000000.0,1146753669.0,0.0079,0.0325,0.0079,0.12390000000000001,0.12390000000000001,0.12390000000000001,0.12390000000000001,,,,,,,,1,0.050000000000000044,1.28,0,1,0,,inf,Liquid,-29288340.0,,,,,,,,,,,,,,0.00040846560846560977
1066,RHBBANK,0.0063,6.35,+0.040,34,-4,3328000.0,21082260.0,8.819,8.844,0.10710000000000001,0.859,6.32,6.31,6.38,6.29,6.33,6.38,200,10000,0.13%,0.00%,0.0143,0.78,0.6107,Financial Services,27698152312.50,16492213161.05,4361913750.0,2597198923.0,-0.0031,0.0111,-0.004699999999999999,-0.020099999999999996,0.042199999999999994,0.2281,0.0213,,,,,,,0,1,0.08999999999999986,6.34,1,0,0,,18.94823740365376,Liquid,1109333.3333333114,,,,,,,,0.7613,0.7613,Buildup,1.0443,1.0443,Strong_Base,0.01178684210526315
0138,ZETRIX,0.0262,0.98,+0.025,34,0,62913200.0,61361713.0,10.0,10.315,0.0194,2.361,0.96,0.955,0.985,0.96,0.975,0.98,3110000,200000,1.13%,0.00%,0.0262,1.03,0.1698,Technology,7550581062.92,5472577893.86,7704674554.0,5584263157.0,0.0051,0.0481,0.0103,0.0889,0.0652,-0.0279,0.0208,,,,,,,,1,0.030000000000000027,0.975,1,0,0,,19.447892924398033,Liquid,37747920.0,,,,,,,,0.7702,0.7702,Buildup,,,,-0.004028971962616823
