Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
5398,GAMUDA,-0.0467999999999999,4.89,-0.240,82,0,53410500.0,260860260.0,28.43,28.430,0.0204,2.327,5.05,5.13,5.09,4.78,4.89,4.9,70500,21000,1.00%,0.00%,0.0604,4.59,0.6631,Construction,28808881877.43,26047375703.22,5891386887.0,5326661698.0,-0.050499999999999996,-0.10279999999999999,-0.052300000000000006,-0.1189,0.023700000000000002,0.0789,0.0527,,,,,,,,1,0.34999999999999964,4.920000000000001,0,1,0,,20.852030828134975,Liquid,Down,-15506274.193548536,,,,,,,,,,,,,,0.06568225806451614
0138,ZETRIX,0.006,0.835,+0.005,47,0,40491400.0,33797842.0,7.952,8.789,0.0323,1.859,0.835,0.83,0.845,0.825,0.83,0.835,948600,615400,0.72%,0.00%,0.0241,0.52,0.2498,Technology,6521586879.48,4693278857.90,7810283688.0,5620693243.0,0.0,0.0183,-0.0176,-0.0429,-0.0737,-0.0429,-0.1027,,,,,,,0,1,0.020000000000000018,0.835,0,0,0,,19.497994118800403,Liquid,Flat,0.0,,,,,,,,,,,,,,-0.00310736842105263
1155,MAYBANK,0.0138,10.26,+0.140,28,1,7073000.0,72156726.0,11.944,12.272,0.0604,1.337,10.14,10.12,10.26,10.14,10.24,10.26,69300,263000,0.06%,0.00%,0.011899999999999999,0.83,0.0678,Financial Services,123950119311.90,120555857705.22,12080908315.0,11750083597.0,0.002,0.0281,0.031200000000000002,0.0322,0.09960000000000001,0.0716,0.0653,,,,,,,0,1,0.14000000000000057,10.219999999999999,1,0,0,,20.284876076880487,Liquid,Flat,7073000.0,,,,,,,,,,,1.1224,1.1224,Strong_Base,-0.0024484848484848543
0385,BMS,0.1052999999999999,0.21,+0.020,25,1,92226800.0,18685501.0,15.0,15.000,0.0,1.228,0.195,0.19,0.215,0.19,0.205,0.21,3844600,9258800,13.49%,0.00%,0.1316,1.78,0.009300000000000001,Consumer Products & Services,323400000.00,143556726.18,1540000000.0,683603458.0,-0.0455,-0.0455,-0.0455,-0.0455,-0.0455,-0.0455,-0.0455,,,,,,,,0,0.024999999999999994,0.205,1,0,0,,17.133516955501488,Norm,Spike,55336079.999999955,,,,,,,,,,,,,,0.0020544943820224714
5343,GENERGY,-0.12,0.88,-0.120,21,4,24036500.0,22555500.0,20.465,12.753,0.0,,0.95,1.0,0.98,0.875,0.88,0.885,45400,107900,32.05%,0.00%,0.105,0.0,0.023,Unclassified,66000000.00,66000000.00,75000000.0,75000000.0,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,,,,,,,,1,0.125,0.9116666666666666,0,0,0,,17.872836339329982,Norm,Plunge,-21747309.523809522,,,,,,,,,,,,,,
0382,FOODIE,0.1216,0.415,+0.045,20,2,16745400.0,6551512.0,34.583,51.875,0.0,34.583,0.37,0.37,0.42,0.36,0.41,0.415,162400,313600,6.52%,0.00%,0.16219999999999998,2.45,0.34020000000000006,Telecommunications & Media,368520000.00,106668985.50,888000000.0,257033700.0,0.1067,0.3833,0.3833,0.3833,0.3833,0.3833,0.3833,,,,,,,,0,0.06,0.3983333333333334,1,1,0,,16.46148614433145,Norm,Spike,13954499.999999996,,,,,,,,,,,,,,0.028668965517241376
6742,YTLPOWR,-0.0062,3.21,-0.020,18,-4,3658600.0,11680154.0,11.145,11.068,0.0374,1.256,3.23,3.23,3.24,3.17,3.19,3.21,44800,342100,0.13%,0.00%,0.0217,0.77,0.11230000000000001,Utilities,27694018193.58,9172957317.42,8627419998.0,2857619102.0,-0.015300000000000001,-0.0983,-0.153,-0.255,-0.12390000000000001,-0.1144,-0.2586,,,,,,,0,1,0.07000000000000028,3.206666666666667,1,0,0,,18.54583035182358,Liquid,Flat,522657.1428571296,0.6,,,,,0.6,Recursor,0.7705,0.7705,Buildup,,,,7.499999999999991e-05
0259,SNS,-0.069,0.54,-0.040,18,-1,27263300.0,15474199.0,18.62,30.000,0.0167,3.0,0.58,0.58,0.59,0.54,0.54,0.545,630100,155100,5.42%,0.00%,0.0862,4.4,0.23600000000000002,Technology,904909301.64,271879291.80,1675757966.0,503480170.0,-0.1429,-0.1074,-0.1429,-0.057300000000000004,0.0179,-0.029300000000000003,-0.1726,,,,,,,,1,0.04999999999999993,0.5566666666666666,0,1,0,,17.57400811299207,Norm,Bear,-27263300.0,,,,,,,,,,,,,,-0.00310736842105263
1066,RHBBANK,0.019,7.49,+0.140,18,2,6678400.0,49582044.0,9.946,10.431,0.0574,0.971,7.35,7.35,7.49,7.33,7.47,7.49,14500,97400,0.25%,0.00%,0.0218,1.15,0.6773,Financial Services,32670733987.50,19934666630.27,4361913750.0,2661504223.0,0.0288,0.07150000000000001,0.0855,0.1435,0.21850000000000003,0.22510000000000002,0.23260000000000003,,,,,,,0,1,0.16000000000000014,7.436666666666667,1,0,0,,19.683098762392863,Liquid,Flat,6678400.0,,,,,,,,,,,1.1023,1.1023,Strong_Base,-0.0024484848484848543
6963,VS,0.04,0.52,+0.020,16,-4,53190800.0,27411747.0,52.0,52.000,0.0269,0.925,0.5,0.5,0.525,0.5,0.52,0.525,119800,1223000,1.78%,0.00%,0.05,1.52,0.0425,Industrial Products & Services,2004355434.12,1555981384.36,3854529681.0,2992271893.0,0.1304,0.0947,0.0297,-0.06309999999999999,-0.3333,-0.5022,-0.5347999999999999,,,,,,,,1,0.025000000000000022,0.515,1,0,0,,18.29084677755272,Liquid,Up,31914480.0,,,,,0.9,0.9,Momentum,0.7003,0.7003,Buildup,,,,-0.00256234309623431
4677,YTL,-0.0195,2.01,-0.040,15,-1,11606100.0,23446270.0,12.484,12.331,0.0473,1.327,2.06,2.05,2.08,1.99,2.0,2.01,125200,300,0.29%,0.00%,0.043899999999999995,1.57,0.2094,Utilities,23322827863.47,8151448311.21,11603396947.0,4055446921.0,-0.0519,-0.1027,-0.1928,-0.2475,-0.0524,-0.0524,-0.2334,,,,,,,,1,0.09000000000000008,2.026666666666667,0,0,0,,18.750871389151577,Liquid,Flat,-6447833.333333391,,,,,,,,,,,,,,7.499999999999991e-05
1023,CIMB,0.0166,7.95,+0.130,12,6,13127200.0,104028751.0,11.057,11.041,0.0501,1.215,7.82,7.82,7.96,7.81,7.93,7.95,1100,21000,0.16%,0.00%,0.0192,1.64,-0.6426999999999999,Financial Services,85710226889.25,63586597699.20,10781160615.0,7998314176.0,0.0038,0.06280000000000001,0.050199999999999995,0.0857,0.22769999999999999,0.0227,0.0239,,,,,,,0,0,0.15000000000000036,7.906666666666666,1,0,0,,20.411813360908464,Liquid,Flat,11376906.666666707,,0.7,,,,0.7,Imminent,,,,1.062,1.062,Strong_Base,-0.0024484848484848543
0338,KOPI,-0.0163,1.21,-0.020,12,-1,3684300.0,4494725.0,36.666,36.666,0.0,8.231,1.24,1.23,1.24,1.2,1.21,1.22,75300,68400,0.71%,0.00%,0.0325,1.43,0.0716,Consumer Products & Services,2420000000.00,625446941.79,2000000000.0,516898299.0,-0.061799999999999994,-0.0472,-0.10980000000000001,0.024900000000000002,0.43479999999999996,1.7718,1.7718,,,,,,,,1,0.040000000000000036,1.2166666666666666,0,0,0,,17.17706673712424,Norm,Flat,-1842150.0,,,,,,,,,,,,,,0.0020544943820224714
0166,INARI,-0.0054,1.84,-0.010,12,3,17641400.0,32880861.0,28.307,31.724,0.029900000000000003,2.527,1.87,1.85,1.89,1.84,1.83,1.84,1801900,182300,0.57%,0.00%,0.027000000000000003,1.3,0.4911,Technology,7001428158.16,5721482309.20,3805123999.0,3109501255.0,-0.0054,-0.22690000000000002,-0.2698,-0.11109999999999999,-0.0558,-0.3396,-0.3849,,,,,,,0,1,0.04999999999999982,1.8566666666666667,0,0,0,,19.563509180556398,Liquid,Flat,-17641400.0,0.6,,,,,0.6,Recursor,,,,,,,-0.00310736842105263
