Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
D05,DBS,0.0017,53.23,+0.090,95,0,2985000.0,159346151.0,13.52,13.510,0.045700000000000005,2.203,53.7,53.14,53.7,53.22,53.23,53.28,5700,7900,0.15%,0.00%,0.009000000000000001,0.7,-0.1618,Banks,151060558080.72,108094531906.64,2837883864.0,2030706968.0,0.0137,-0.0126,0.058899999999999994,0.1275,0.2846,0.441,0.2741,,,,,,,0,0,0.5600000000000023,53.38333333333333,0,0,0,,22.203048657612342,Liquid,-2860625.0000000256,,0.7,,,,0.7,Imminent,,,,,,,0.0047
S63,ST Engineering,0.0118,8.58,+0.100,84,0,5607100.0,48220274.0,35.02,38.303,0.019799999999999998,9.85,8.55,8.48,8.7,8.54,8.57,8.58,4600,15800,0.37%,0.00%,0.0189,1.12,-0.5489999999999999,Aerospace & Defense,26751925629.00,13027759387.50,3117940050.0,1518386875.0,0.0387,-0.0327,0.019,-0.0167,0.1423,0.8658,0.8733,,,,,,,0,0,0.21999999999999886,8.606666666666667,0,0,0,,20.227836021822725,Liquid,-2803549.9999999376,,0.7,,,,0.7,Imminent,,,,,,,0.014374999999999999
BS6,YZJ Shipbldg SGD,0.0389,3.47,+0.130,44,5,25611200.0,87897891.0,9.942,11.050,0.034,2.7,3.39,3.34,3.49,3.36,3.46,3.47,46000,158000,1.01%,0.00%,0.038900000000000004,1.62,-0.5489999999999999,Aerospace & Defense,13656493830.00,8766410400.85,3935589000.0,2526343055.0,0.0644,0.0087,0.0452,0.3555,0.5917,0.4263,0.2259,,,,,,,,0,0.15000000000000036,3.44,1,0,0,,19.836836122988824,Liquid,17730830.769230783,,,,,0.9,0.9,Momentum,,,,1.0514,1.0514,Strong_Base,0.014374999999999999
5E2,Seatrium Ltd,0.0139999999999999,2.18,+0.030,42,-1,10857500.0,23599045.0,27.948,47.391,0.0069,1.127,2.15,2.15,2.19,2.15,2.17,2.18,1027800,9700,0.52%,0.00%,0.018600000000000002,0.93,0.9813,Oil & Gas,7382643740.68,4582250904.08,3386533826.0,2101949956.0,0.0431,-0.1066,-0.0992,-0.039599999999999996,0.08460000000000001,0.1324,0.0613,,,,,,,0,1,0.040000000000000036,2.1733333333333333,1,0,0,,18.937565795864153,Liquid,5428750.00000012,0.7,,,,,0.7,Recursor,0.8901,0.8901,Buildup,1.2303,1.2303,Strong_Base,0.009308333333333326
C6L,SIA,-0.0015,6.62,-0.010,38,-1,3930600.0,26022334.0,8.379,7.760,0.0725,1.248,6.66,6.63,6.66,6.6,6.62,6.64,100000,122100,0.27%,0.00%,0.0091,0.91,-0.09949999999999999,Transportation,19693734489.68,9780932819.38,2974884364.0,1477482299.0,0.0138,-0.009000000000000001,0.015300000000000001,0.0183,0.0168,0.0873,0.07519999999999999,,,,,,,0,0,0.0600000000000005,6.626666666666666,0,0,0,,20.172034015767807,Liquid,-1310199.9999999614,,0.7,,,,0.7,Imminent,,,,,,,0.011909523809523795
O39,OCBC Bank,-0.0018,16.77,-0.030,36,-1,3316500.0,55623721.0,10.416,10.041,0.0507,1.245,16.8,16.8,16.85,16.74,16.77,16.78,11400,3800,0.10%,0.00%,0.0066,0.88,0.5,Banks,75289381608.48,54184275800.46,4489527824.0,3231024198.0,-0.0024,-0.0053,0.031400000000000004,0.018500000000000003,0.056100000000000004,0.1616,0.0662,,,,,,,0,1,0.11000000000000298,16.786666666666665,0,0,0,,21.463241165670055,Liquid,-1507499.9999999804,0.6,,,,,0.6,Recursor,,,,,,,0.0047
U11,UOB,-0.0006,34.65,-0.020,31,0,2075468.0,71950763.0,9.9,9.788,0.0519,1.142,34.78,34.67,34.79,34.57,34.65,34.66,25900,500,0.18%,0.00%,0.0064,0.68,0.9621,Banks,57525201760.95,40124273077.35,1660178983.0,1157987679.0,0.002,-0.0192,0.0084,-0.0127,0.036000000000000004,0.13699999999999998,0.0168,,,,,,,0,1,0.21999999999999886,34.669999999999995,0,0,0,,22.492697892463482,Liquid,-566036.7272727516,0.6,,,,,0.6,Recursor,,,,,,,0.0047
OV8,Sheng Siong,0.0044,2.3,+0.010,29,-2,3412000.0,7859454.0,24.731,25.000,0.0278,6.182,2.29,2.29,2.32,2.27,2.3,2.31,223000,96800,0.52%,0.00%,0.0218,1.17,0.3946,Retail - Defensive,3458135100.00,1500327814.30,1503537000.0,652316441.0,0.0698,0.07980000000000001,0.09,0.1119,0.2554,0.5053,0.45020000000000004,,,,,,,0,1,0.04999999999999982,2.2966666666666664,1,0,0,,18.512348071244563,Liquid,682399.9999999879,,,,,,,,0.8603,0.8603,Buildup,,,,-0.003675
Z74,Singtel,0.0,4.31,0.000,28,0,18382500.0,79563485.0,18.033,18.033,0.0269,2.748,4.33,4.31,4.36,4.29,4.31,4.32,339600,162300,0.23%,0.00%,0.016200000000000003,1.12,0.3533,Telecommunication Services,71170282400.33,34556155126.93,16512826543.0,8017669403.0,0.0262,0.0141,0.009399999999999999,0.1108,0.1393,0.41609999999999997,0.43520000000000003,,,,,,,0,1,0.07000000000000028,4.32,0,0,0,,inf,Liquid,-7878214.285714553,0.6,,,,,0.6,Recursor,,,,,,,0.0038777777777777777
BN4,Keppel,0.0062,9.68,+0.060,21,2,2651300.0,25612159.0,17.632,18.943,0.0351,1.644,9.56,9.62,9.69,9.56,9.67,9.68,3900,4900,0.19%,0.00%,0.013500000000000002,0.69,-0.11359999999999999,Conglomerates,17466742243.28,13520151793.28,1804415521.0,1396709896.0,0.0254,0.0556,0.0913,0.20440000000000003,0.4793,0.5676,0.4828,,,,,,,0,0,0.129999999999999,9.643333333333333,1,0,0,,20.00734267424886,Liquid,2243407.692307698,,0.7,,,,0.7,Imminent,,,,,,,-0.026075
G13,Genting Sing,-0.0068,0.735,-0.005,16,-1,51516700.0,37926500.0,19.342,15.312,0.054400000000000004,1.071,0.745,0.74,0.745,0.73,0.73,0.735,12972000,7332400,0.91%,0.00%,0.0203,1.01,0.2778,Travel & Leisure,8880942873.39,4183792533.90,12082915474.0,5692234740.0,0.0138,0.0138,-0.02,0.027200000000000002,0.027200000000000002,-0.0594,0.0143,,,,,,,0,1,0.015000000000000013,0.7366666666666667,0,0,0,,19.492500103628394,Liquid,-17172233.333333332,,,,,,,,,,,,,,0.006663157894736841
U96,Sembcorp Ind,0.0016,6.46,+0.010,15,-1,2003200.0,12958366.0,11.639,11.577,0.0356,2.202,6.46,6.45,6.49,6.45,6.46,6.47,5000,32700,0.23%,0.00%,0.0062,0.58,-0.7348,Conglomerates,11482442685.68,5593940746.00,1777467908.0,865935100.0,0.023799999999999998,-0.0015,0.0713,-0.15539999999999998,-0.0039000000000000003,0.2764,0.2186,,,,,,,0,0,0.040000000000000036,6.466666666666668,0,0,0,,19.84489271688427,Liquid,-1001600.0000000222,,0.7,,,,0.7,Imminent,,,,,,,-0.026075
F34,Wilmar Intl,0.0067,2.99,+0.020,14,8,3751400.0,11192705.0,12.458,11.725,0.052199999999999996,0.695,2.97,2.97,2.99,2.97,2.98,2.99,190500,300,0.24%,0.00%,0.0067,0.65,0.9969,Consumer Packaged Goods,18665771687.94,4602986643.84,6242733006.0,1539460416.0,0.020499999999999997,0.020499999999999997,0.0346,0.0278,-0.0219,-0.0364,0.0102,,,,,,,0,1,0.020000000000000018,2.983333333333334,1,0,0,,18.743812832628194,Liquid,3751400.0,,,,,,,,,,,,,,0.09071904761904763
5TP,CNMC Goldmine,0.0086,1.17,+0.010,13,1,8261300.0,9795196.0,17.727,35.454,0.0068000000000000005,6.062,1.16,1.16,1.22,1.15,1.16,1.17,284000,21800,3.78%,0.00%,0.0603,0.6,0.8573999999999999,Metals & Mining,474188247.00,255806196.75,405289100.0,218637775.0,-0.09300000000000001,-0.1333,0.15839999999999999,1.4222,1.8219999999999998,3.5465,4.010400000000001,,,,,,,-1,1,0.07000000000000006,1.18,0,0,0,,18.110942239588407,Liquid,-3540557.1428571427,,,,,,,,,,,,,,0.010924999999999999
9CI,CapitaLandInvest,0.0075,2.67,+0.020,12,-2,10201300.0,27201739.0,30.689,28.404,0.0449,1.058,2.65,2.65,2.69,2.64,2.67,2.68,212800,385200,0.45%,0.00%,0.0189,0.76,-0.2883,Real Estate,13316755856.70,6104976181.11,4987549010.0,2286507933.0,0.0075,-0.0074,0.0,-0.039599999999999996,0.038900000000000004,-0.0019,0.0934,,,,,,,0,0,0.04999999999999982,2.6666666666666665,1,0,0,,19.417920478144204,Liquid,2040259.999999964,,0.7,,,,0.7,Imminent,,,,,,,0.006613333333333337
S68,SGX,0.0046,17.45,+0.080,12,-2,1789900.0,31149425.0,28.938,28.938,0.0206,8.491,17.44,17.37,17.45,17.26,17.43,17.45,1900,18200,0.17%,0.00%,0.0109,0.75,-0.8109999999999999,Capital Markets,18682987265.20,18558234981.60,1070658296.0,1063509168.0,0.0265,-0.0042,0.056299999999999996,0.09720000000000001,0.23370000000000002,0.5386,0.39590000000000003,,,,,,,1,0,0.18999999999999773,17.386666666666667,1,0,0,,20.263877291399947,Liquid,1789900.0,,0.4,,,,0.4,Imminent,,,,,,,0.000299999999999975
H22,Hong Leong Asia,0.0562999999999999,2.44,+0.130,10,-1,1758100.0,4254931.0,19.365,20.854,0.016399999999999998,1.807,2.33,2.31,2.46,2.33,2.43,2.44,37200,21200,1.12%,0.00%,0.056299999999999996,0.51,0.27399999999999997,Vehicles & Parts,1825464815.92,382829416.88,748141318.0,156897302.0,-0.0758,-0.10949999999999999,0.0083,0.49950000000000006,1.2154,1.9404,1.7788,,,,,,,,1,0.1499999999999999,2.41,1,0,0,,16.893059944684197,Liquid,1217146.1538461528,,,,,,,,,,,,,,0.00537999999999999
AIY,IFAST,-0.0011,9.23,-0.010,10,-1,1162200.0,10719488.0,36.92,42.534,0.0067,8.068,9.23,9.24,9.3,9.12,9.22,9.23,18800,13100,0.58%,0.00%,0.0195,0.86,0.1787,Software,2794319172.97,1849513233.36,302743139.0,200380632.0,0.0,-0.0405,0.0394,0.021,0.4756,0.20199999999999999,0.2546,,,,,,,1,1,0.1800000000000015,9.216666666666667,1,0,0,,19.990750977150512,Liquid,258266.6666666705,,,,,,,,,,,,,,-0.00020769230769230703
S58,SATS,0.0029,3.47,+0.010,9,1,2324900.0,8071988.0,20.903,21.419,0.0086,1.997,3.47,3.46,3.5,3.46,3.47,3.48,23900,170900,0.26%,0.00%,0.0116,0.83,-0.7545999999999999,Transportation,5167179383.89,3078287811.21,1489100687.0,887114643.0,0.0087,-0.030699999999999998,0.0176,0.09119999999999999,0.2011,-0.122,-0.0365,,,,,,,0,0,0.040000000000000036,3.4766666666666666,0,0,0,,18.89336658877831,Liquid,-1162449.9999999742,,0.7,,,,0.7,Imminent,,,,,,,0.011909523809523795
C52,ComfortDelGro,0.0,1.49,0.000,9,2,16872500.0,25063012.0,14.607,15.360,0.052300000000000006,1.232,1.48,1.49,1.5,1.47,1.48,1.49,3357800,12000,0.79%,0.00%,0.020099999999999996,1.61,0.9929000000000001,Transportation,3228477233.56,3180532578.27,2166763244.0,2134585623.0,0.013600000000000001,0.0,0.0068000000000000005,-0.0003,-0.0003,0.0848,0.0629,,,,,,,0,1,0.030000000000000027,1.4866666666666666,1,0,0,,inf,Liquid,5624166.666666666,0.6,,,,,0.6,Recursor,0.8007,0.8007,Buildup,,,,0.011909523809523795
AWX,AEM SGD,0.0166,1.84,+0.030,9,3,5090400.0,9423483.0,42.79,51.111,0.0,1.213,1.87,1.81,1.87,1.83,1.84,1.85,269600,108000,2.03%,0.00%,0.022099999999999998,1.5,0.428,Semiconductors,579496043.68,462384958.32,314943502.0,251296173.0,0.0337,-0.0366,-0.016,0.1358,0.5726,0.3835,0.2778,,,,,,,0,1,0.06000000000000005,1.8466666666666667,0,0,0,,17.99379804600644,Liquid,-2545200.0,0.7,,,,0.8,0.8,Momentum,,,,,,,0.012372727272727256
QC7,Q&M Dental,0.04,0.52,+0.020,9,13,6813500.0,3503949.0,57.777,32.500,0.0212,4.77,0.495,0.5,0.53,0.495,0.515,0.52,94400,205900,2.31%,0.00%,0.07,4.08,-0.3713,Healthcare Providers & Services,491801422.32,153715645.20,945771966.0,295607010.0,0.10640000000000001,0.1304,0.1304,0.32799999999999996,0.6653,0.7909999999999999,0.919,,,,,,,,0,0.03500000000000003,0.515,1,1,0,,16.499892786143402,Liquid,2920071.4285714286,,,,,,,,,,,,,,0.006378947368421047
5LY,MarcoPolo Marine,0.043,0.097,+0.004,8,-5,67125100.0,6396917.0,16.166,16.166,0.0103,1.865,0.092,0.093,0.098,0.092,0.096,0.097,1490600,672400,2.71%,0.00%,0.0645,3.35,0.37829999999999997,Transportation,364304459.76,240354024.28,3755716080.0,2477876539.0,0.12789999999999999,0.08990000000000001,0.2597,0.6724,1.2045000000000001,0.7326999999999999,0.8290000000000001,,,,,,,,0,0.006000000000000005,0.09566666666666668,1,1,0,,16.960635621831713,Liquid,44750066.666666664,,,,,0.9,0.9,Momentum,,,,,,,0.011909523809523795
S08,SingPost,-0.0235,0.415,-0.010,8,5,5118900.0,2144416.0,3.99,3.990,0.0217,0.594,0.425,0.425,0.425,0.415,0.415,0.42,3547500,3097800,0.32%,0.00%,0.0235,0.53,0.0677,Transportation,933771165.00,674047351.27,2250051000.0,1624210485.0,0.0,0.0,-0.0235,-0.1531,-0.2148,-0.109,-0.0815,,,,,,,,0,0.010000000000000009,0.4183333333333333,0,0,0,,16.210085100306834,Liquid,-5118900.0,,,,,,,,,,,,,,0.011909523809523795
