Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
AMD,Advanced Micro Devices,0.0881,126.39,+10.230,92,0,100968478.0,12698435715.0,92.255,126.390,0.0,3.54,118.635,116.16,128.139,117.78,125.06,125.11,2800,100,6.30%,0.06%,0.0892,2.34,0.9309999999999999,Semiconductors,204929276206.05,202654394223.93,1621404195.0,1603405287.0,0.0383,0.1026,0.0787,0.1797,0.0632,-0.2082,0.0464,118.630,+2.13%,+2.470,125.060,-1.05%,-1.330,,1,11.979000000000013,124.10300000000001,1,1,1,,24.660829839094166,Liquid,Spike,66873706.68578033,,,,,,,,,,,,,,0.03307846153846153
TSLA,Tesla,0.0116999999999999,329.13,+3.820,74,0,83925858.0,27648681640.0,188.074,161.338,0.0,14.2,331.29,325.31,332.05,326.41,325.0,325.02,3600,100,3.02%,0.05%,0.0173,0.64,0.946,Auto Manufacturers,1060113317726.43,914207172361.02,3220956211.0,2777647654.0,0.0666,-0.039599999999999996,-0.0596,0.3931,-0.24539999999999998,0.8489,-0.185,331.210,+1.81%,+5.900,325.000,-1.25%,-4.130,0,1,6.740000000000009,329.19666666666666,0,0,0,,27.024436271784722,Liquid,Flat,-2976094.255319833,0.7,,,,,0.7,Recursor,,,,,,,0.014175757575757576
CRCL,Circle,0.131,151.06,+17.500,67,0,43781546.0,6808365932.0,190.251,206.931,0.0,45.119,147.54,133.56,165.6,145.88,147.1,148.0,500,1200,48.29%,1.54%,0.1477,1.49,-0.4118,Capital Markets,33616909771.90,13695934961.80,222540115.0,90665530.0,0.3107,3.8729,3.8729,3.8729,3.8729,3.8729,3.8729,147.540,+10.47%,+13.980,147.450,-2.39%,-3.610,-1,0,32.03999999999999,154.18,0,0,1,,22.762094304794605,Liquid,Spike,-20780693.23326569,,0.7,,,,0.7,Imminent,,,,,,,0.027726086956521734
NVDA,NVIDIA,0.0192,144.69,+2.720,67,0,183133666.0,26535975816.0,46.674,49.214,0.0003,42.11,143.345,141.97,146.175,143.2,143.66,143.67,400,100,0.78%,0.30%,0.021,1.06,0.6,Semiconductors,3530436000000.00,3400479583172.49,24400000000.0,23501828621.0,0.014499999999999999,0.0533,0.0687,0.2208,0.1074,0.0975,0.0776,143.370,+0.99%,+1.400,143.660,-0.71%,-1.030,0,1,4.2050000000000125,144.68833333333333,1,0,0,,26.722633665817995,Liquid,Flat,307787.6739492975,,,,,,,,,,,,,,0.03307846153846153
PLTR,Palantir,0.0292,141.41,+4.010,49,0,80779773.0,11510210772.0,614.826,744.263,0.0,61.536,140.03,137.4,144.86,139.812,141.2,141.25,800,200,3.73%,0.09%,0.036699999999999997,1.02,0.6,Software - Infrastructure,333715212059.77,306212503620.83,2359912397.0,2165423263.0,0.0708,0.071,0.09179999999999999,0.6181,0.9055,4.9996,0.8698,140.190,+2.03%,+2.790,141.200,-0.15%,-0.210,-1,1,7.460000000000008,142.02733333333333,0,0,0,,25.107873605264484,Liquid,Up,-29636319.254358668,,,,,,,,,,,,,,0.024128666666666663
SRM,SRM Entertainment,5.337899999999999,9.19,+7.740,41,0,251394135.0,1791323033.0,,Loss,0.0,31.799,5.52,1.45,10.84,4.3,8.23,8.24,300,100,2511.91%,1.86%,4.5103,178.7,0.5,Leisure,158468775.90,91974154.11,17243610.0,10008069.0,10.345699999999999,15.137,20.165399999999998,21.9177,14.4949,6.8547,13.6105,5.520,+280.69%,+4.070,8.230,-10.45%,-0.960,,1,9.39,8.11,1,1,0,,20.69437469703762,Liquid,Spike,124543883.3944954,,,,,,,,,,,,,,0.24112916666666664
RGC,Regencell Bioscience,2.8313,60.0,+44.340,30,1,5288933.0,278847099.0,,Loss,0.0,3529.411,26.2,15.661,83.6,26.2,73.0,74.0,300,200,17.69%,1.47%,3.6653,186.97,0.2,Drug Manufacturers - Specialty & Generic,29669334480.00,1793995200.00,494488908.0,29899920.0,2.5627999999999997,2.0482,4.8015,49.6667,434.9465,476.9874,460.5385,27.200,+73.69%,+11.540,74.000,+23.33%,+14.000,,0,67.939,56.6,1,1,0,,18.302088716950358,Norm,Spike,939845.2369337983,,,,,0.9,0.9,Momentum,,,,,,,0.04692173913043479
AAPL,Apple,0.01,198.42,+1.970,30,-1,43020691.0,8513345166.0,30.906,32.634,0.005,44.369,197.3,196.45,198.685,196.564,197.08,197.2,300,100,0.29%,0.21%,0.0108,0.75,0.5,Consumer Electronics,2963566594920.00,2958772831412.82,14935826000.0,14911666321.0,-0.015,-0.0163,-0.0608,-0.07200000000000001,-0.20370000000000002,-0.061799999999999994,-0.2057,197.240,+0.40%,+0.790,197.080,-0.68%,-1.340,0,1,2.2350000000000136,197.88966666666667,1,0,0,,25.07444759820643,Liquid,Flat,32270589.05280473,0.6,,,,,0.6,Recursor,,,,,,,0.03801875
AIRO,AIRO Group,0.2917,31.0,+7.000,28,0,11880751.0,382602915.0,,Loss,0.0,1.397,34.98,24.0,37.925,28.6,30.4,30.6,900,200,237.62%,-0.14%,0.3885,3.99,0.6364,Aerospace & Defense,772002486.00,155000000.00,24903306.0,5000000.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,34.710,+44.63%,+10.710,30.500,-1.61%,-0.500,,1,13.924999999999997,32.50833333333333,0,1,0,,19.88245333871203,Norm,Spike,-5765190.163538874,,,,,,,,,,,,,,-0.0053797297297297235
META,Meta Platforms,0.0289999999999999,702.12,+19.775,26,0,13720288.0,9619392672.0,27.448,29.426,0.0029,9.54,699.33,682.345,707.15,693.51,696.3,696.95,600,100,0.63%,0.13%,0.02,1.37,0.7143,Internet Content & Information,1765359448067.88,1530811533289.68,2514327249.0,2180270514.0,0.0124,0.0473,0.0973,0.1991,0.1809,0.39740000000000003,0.20120000000000002,699.570,+2.52%,+17.225,696.300,-0.83%,-5.820,0,1,24.80499999999995,700.9266666666666,1,0,0,,24.534065866645243,Liquid,Up,3601072.65689154,,,,,,,,,,,,,,0.02697042253521127
