"Symbol","Name","% Chg","Price","Chg","Heat","Heat Chg","Volume","Turnover","P/E TTM","P/E LFY","Div Yield TTM","P/B","Open","Prev Close","High","Low","Bid","Ask","Bid Size","Ask Size","Turnover %","Change Rate","Range %","Vol Ratio","Bid/Ask Ratio","Industry","Mkt Cap","Float Mkt Cap","Total Shares","Free Float","5D Chg","10D Chg","20D Chg","60D Chg","120D Chg","250D Chg","YTD Chg","Pre-Mkt Price","Pre-Mkt % Chg","Pre-Mkt Chg","Post-Mkt Price","Post-Mkt % Chg","Post-Mkt Chg"
"AMD","Advanced Micro Devices","-1.40%","174.310","-2.470","98","0","88808520","15475423036.00","127.233","174.310","0.000%","4.882","177.565","176.780","177.990","171.800","163.250","163.370","700","100","5.54%","0.14%","3.50%","1.00","75.00%","Semiconductors","282626965230.45","279489575576.97","1621404195","1603405287","-1.76%","+12.66%","+26.48%","+71.40%","+56.89%","+29.29%","+44.31%","177.350","+0.32%","+0.570","163.280","-6.33%","-11.030"
"PLTR","Palantir","+7.85%","173.270","+12.610","75","0","130917543","22622113512.00","577.566","911.947","0.000%","68.976","171.810","160.660","176.330","169.220","171.890","171.900","100","600","6.05%","0.28%","4.43%","2.36","-71.43%","Software - Infrastructure","408902021028.19","375202888780.01","2359912397","2165423263","+10.90%","+16.23%","+24.02%","+45.42%","+53.85%","+619.26%","+129.10%","171.910","+7.00%","+11.250","171.890","-0.80%","-1.380"
"FIG","FIGMA INC","-10.74%","79.080","-9.520","67","0","25581084","2204315870.00","Loss","Loss","0.000%","37.039","91.190","88.600","94.000","79.000","77.600","77.700","100","7300","69.26%","-0.59%","16.93%","0.77","-97.30%","Software - Application","38548408209.24","2920984286.40","487460903","36937080","+139.64%","+139.64%","+139.64%","+139.64%","+139.64%","+139.64%","+139.64%","90.380","+2.01%","+1.780","77.700","-1.75%","-1.380"
"NVDA","NVIDIA","-0.97%","178.260","-1.740","64","0","156407621","27874574789.00","57.503","60.632","0.020%","51.880","179.620","180.000","180.260","175.900","176.780","176.810","100","100","0.67%","0.13%","2.42%","0.85","0.00%","Semiconductors","4349544000000.00","4189435969979.46","24400000000","23501828621","+1.57%","+6.72%","+11.41%","+51.89%","+34.25%","+77.52%","+32.76%","179.634","-0.20%","-0.366","176.810","-0.81%","-1.450"
"SMCI","Super Micro Computer","-1.67%","57.260","-0.970","51","1","49970613","2769264922.00","31.119","29.822","0.000%","5.356","58.810","58.230","59.400","56.790","47.880","47.910","600","100","10.07%","0.11%","4.48%","0.93","71.43%","Computer Hardware","34173778409.96","28423751484.10","596817646","496398035","-2.34%","+14.84%","+16.60%","+78.32%","+48.30%","-5.95%","+87.86%","58.840","+1.05%","+0.610","47.930","-16.29%","-9.330"
"TSLA","Tesla","-0.17%","308.720","-0.540","50","-1","57961278","17882945545.00","183.761","151.333","0.000%","12.879","308.950","309.260","312.450","305.500","307.000","307.050","300","100","2.09%","0.06%","2.25%","0.67","50.00%","Auto Manufacturers","995760581012.08","857515383742.88","3225448889","2777647654","-3.89%","-7.04%","+3.66%","+8.39%","-6.02%","+55.23%","-23.55%","308.980","-0.09%","-0.280","307.020","-0.55%","-1.700"
"OPEN","Opendoor Technologies","+2.44%","2.520","+0.060","44","0","235170785","543110070.00","Loss","Loss","0.000%","2.847","2.445","2.460","2.580","2.310","1.890","1.900","17400","18800","35.90%","-1.14%","10.98%","0.95","-3.87%","Real Estate Services","1836820160.28","1650758780.16","728896889","655063008","+22.93%","-12.50%","+244.36%","+188.99%","+82.61%","+47.37%","+57.50%","2.440","-0.81%","-0.020","1.900","-24.60%","-0.620"
"UNH","UnitedHealth","+4.16%","251.000","+10.020","39","0","23795862","5885713129.00","10.506","16.183","3.390%","2.395","241.160","240.980","252.070","240.050","250.900","251.190","100","200","2.63%","-0.21%","4.99%","0.78","-33.33%","Healthcare Plans","227692250691.00","227030395317.00","907140441","904503567","-3.86%","-11.97%","-18.43%","-34.44%","-52.45%","-55.13%","-49.82%","240.750","-0.10%","-0.230","251.020","+0.01%","+0.020"
"COIN","Coinbase","-6.34%","297.990","-20.180","38","0","16863874","5107527968.00","28.708","31.433","0.000%","6.330","307.110","318.170","312.850","297.200","298.800","299.230","100","100","8.21%","0.02%","4.92%","1.10","0.00%","Financial Data & Stock Exchanges","76565001404.43","61204979314.71","256938157","205392729","-19.77%","-26.32%","-16.02%","+44.31%","+11.65%","+57.28%","+20.01%","307.340","-3.40%","-10.830","299.000","+0.34%","+1.010"
"HIMS","Hims & Hers Health","-12.36%","55.520","-7.830","34","0","105853312","6203938954.00","70.278","104.754","0.000%","22.297","55.295","63.350","64.110","54.700","56.020","56.130","400","300","54.93%","0.17%","14.85%","2.73","14.29%","Household & Personal Products","12548607137.12","10700074455.68","226019581","192724684","-7.88%","+11.02%","+13.40%","+8.02%","+27.40%","+211.21%","+129.61%","55.260","-12.77%","-8.090","56.120","+1.08%","+0.600"
