Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
OPEN,Opendoor Technologies,0.1607999999999999,8.23,+1.140,86,0,326244212.0,2625809635.0,,Loss,0.0,9.603,7.6,7.09,8.48,7.31,8.51,8.53,160,490,48.95%,0.30%,0.165,0.83,-0.5077,Real Estate Services,6056902950.78,5484875368.76,735954186.0,666449012.0,-0.19390000000000002,0.4044,0.7511,14.4409,7.1485,2.8102,4.1438,8.530,+3.65%,+0.300,9.080,+10.33%,+0.850,,0,1.3900000000000006,8.006666666666666,1,0,0,,22.261167423407166,Liquid,186823608.58119667,,,,,,,,,,,,,,0.014585365853658534
TSLA,Tesla,0.0398,442.79,+16.940,79,0,93133570.0,40853096863.0,263.565,217.053,0.0,19.043,429.83,425.85,444.21,429.03,436.8,436.88,250,215,3.35%,-0.03%,0.035699999999999996,0.97,0.0753,Auto Manufacturers,1472343560811.94,1229914604714.66,3325150886.0,2777647654.0,0.0398,0.2732,0.2591,0.39390000000000003,0.5660000000000001,0.7414000000000001,0.0964,436.830,-1.35%,-5.960,444.770,+0.45%,+1.980,,1,18.359999999999957,438.6766666666667,1,0,0,,26.35998585578296,Liquid,75709371.13307033,,,,,,,,,,,,,,-0.0005771428571428621
NVDA,NVIDIA,-0.0081999999999999,176.97,-1.460,73,1,143564116.0,25475903235.0,50.418,60.193,0.0002,42.943,179.77,178.43,179.78,175.4,174.95,174.99,200,200,0.61%,-0.05%,0.0246,0.65,0.0,Semiconductors,4300371000000.00,4159118611058.37,24300000000.0,23501828621.0,0.0392,-0.002,-0.0264,0.1202,0.6029,0.4646,0.3181,174.970,-1.13%,-2.000,176.520,-0.25%,-0.450,0,0,4.3799999999999955,177.38333333333333,0,0,0,,26.54022815646608,Liquid,-40643722.337899886,,0.8,,,,0.8,Imminent,,,,,,,-0.00808484848484848
BABA,Alibaba,0.0819,176.44,+13.360,62,-1,52642314.0,9340295307.0,20.402,23.481,0.006,2.959,175.98,163.08,180.16,175.0,175.73,176.0,180,10000,2.34%,-0.23%,0.0316,2.52,-0.9645999999999999,Internet Retail,420646887291.40,397542077760.52,2384078935.0,2253128983.0,0.061799999999999994,0.2259,0.4207,0.5558,0.3824,0.8461,1.1161,175.960,-0.27%,-0.480,177.264,+0.47%,+0.824,-1,0,17.079999999999984,177.19999999999996,0,1,0,,23.840797604109788,Liquid,-23260557.348837238,,,,,,,,,,,,,,0.004294999999999995
INTC,Intel,0.0641,31.22,+1.880,60,1,164458509.0,5061509656.0,,Loss,0.004,1.489,29.38,29.34,31.7,29.23,31.5,31.53,25716,620,3.53%,0.14%,0.0842,0.74,0.9529000000000001,Semiconductors,145805564467.08,145553345174.02,4670261514.0,4662182741.0,0.25379999999999997,0.26039999999999996,0.2821,0.39380000000000004,0.4204,0.36869999999999997,0.5571,31.520,+0.96%,+0.300,31.910,+2.21%,+0.690,,1,2.469999999999999,30.71666666666667,1,0,0,,23.62305169871844,Liquid,100539412.38461529,,,,,,,,,,,,,,-0.00808484848484848
LAC,Lithium Americas,0.9577,6.01,+2.940,58,-1,289496390.0,1680533293.0,,Loss,0.0,2.356,5.055,3.07,6.3,4.98,7.15,7.17,200,200,139.54%,0.34%,0.43,16.03,0.0,Other Industrial Metals & Mining,1452393464.06,1246874644.63,241662806.0,207466663.0,0.8436,1.1464,1.0868,1.2425,1.1775,1.4431,1.0236,7.180,+19.47%,+1.170,5.910,-1.66%,-0.100,,0,3.23,5.763333333333333,1,1,0,,21.02296133257625,Liquid,162293430.7575757,,,,,,,,,,,,,,0.05633555555555554
ORCL,Oracle,-0.0171,308.46,-5.370,43,1,33765279.0,10321255902.0,71.402,71.073,0.0058,36.289,311.86,313.83,312.47,300.03,300.06,300.52,138,14,2.09%,-0.15%,0.039599999999999996,0.95,0.8158,Software - Infrastructure,876555100440.00,498785079859.92,2841714000.0,1617017052.0,0.023399999999999997,-0.0605,0.317,0.4139,1.1269,0.8798999999999999,0.8662000000000001,300.290,-2.65%,-8.170,307.400,-0.34%,-1.060,1,1,13.800000000000011,306.9866666666667,1,0,0,,24.608635536258493,Liquid,11996988.197749034,,,,,,,,,,,,,,-0.0035561728395061697
AMZN,Amazon,-0.0023,220.21,-0.500,40,-1,49509033.0,10941787614.0,33.568,39.820,0.0,7.036,224.15,220.71,224.56,219.45,219.75,219.97,55,1,0.51%,0.06%,0.0232,0.8,0.9643,Internet Retail,2348520292880.37,2123891840668.96,10664912097.0,9644847376.0,-0.0493,-0.043899999999999995,-0.037200000000000004,0.0037,0.1235,0.1353,0.0037,219.840,-0.17%,-0.370,220.804,+0.27%,+0.594,0,1,5.110000000000014,221.40666666666667,0,0,0,,25.72253477061594,Liquid,-34782275.630136654,,0.55,,,,0.55,Imminent,,,,,,,0.004294999999999995
MU,Micron Technology,-0.0282,161.71,-4.700,37,0,57096440.0,9247312406.0,21.305,21.305,0.0028000000000000004,3.341,165.08,166.41,166.0,158.3,158.53,158.59,372,1,5.25%,-0.08%,0.0463,1.84,0.9945999999999999,Semiconductors,180973720082.71,175778867187.71,1119125101.0,1087000601.0,0.0108,0.1551,0.3881,0.31329999999999997,0.8269,0.7284,0.9258,158.550,-1.95%,-3.160,160.500,-0.75%,-1.210,,1,8.109999999999985,162.00333333333333,0,0,0,,24.903072831577077,Liquid,-6525307.428571405,,,,,,,,,,,,,,-0.00808484848484848
BMNR,Bitmine Immersion Technologies,-0.0472,51.92,-2.570,34,0,42314226.0,2255538227.0,,Loss,0.0,3054.117,55.3,54.49,55.5,51.53,49.56,49.7,100,495,14.88%,-0.13%,0.0729,0.68,-0.6639,Capital Markets,15325628624.24,14763474689.04,295177747.0,284350437.0,-0.0902,0.1386,0.0394,0.5316,4.431,3.9827,5.6564,49.650,-4.37%,-2.270,52.100,+0.35%,+0.180,,0,3.969999999999999,52.98333333333333,0,0,1,,22.581887330489756,Liquid,-34000599.73299746,,,,,,,,,,,,,,0.009654878048780487
